nachname;vorname;geburtsjahr;partei;wahlkreis;bundesland;landeslistePlatz;jahr
Borowiak;Matthias;1984;GRÜNE;69;Sachsen-Anhalt;4;2017
Bossack;Thomas;1970;BGE;;Sachsen;;2017
Bossek;Franz;1965;GRÜNE;253;Bayern;43;2017
Böswald;Martina Nicola;1966;AfD;288;;;2017
Bötcher;Detlev;1969;Die PARTEI;;Hamburg;;2017
Both;Jimmy Niklas;1996;Die PARTEI;;Saarland;;2017
Böttcher;Dieter;1952;MLPD;264;Baden-Württemberg;9;2017
Böttger;Reinhard;1954;DIE LINKE;226;;;2017
Bovenkerk;Willi;1968;EB: Bovenkerk 112; 112;;;2017
Boxberg;Kai Torsten;1999;PIRATEN;89;Nordrhein-Westfalen;5;2017
Boyens;Stephan;1962;AfD;95;Nordrhein-Westfalen;19;2017
Braatz;Marie-Theresa;1996;SPD;;Brandenburg;;2017
Brackmann;Norbert;1954;CDU;10;Schleswig-Holstein;2;2017
Dr. Braedt;Kurt Michael;1951;DIE LINKE;;Niedersachsen;;2017
Brähmig;Klaus;1957;CDU;158;Sachsen;8;2017
Bramorski;Stephan;1985;SPD;;Nordrhein-Westfalen;;2017
Brand;Michael;1973;CDU;174;Hessen;11;2017
Brand;Andreas;1978;FDP;;Rheinland-Pfalz;;2017
Brand;Klaus;1969;PIRATEN;;Rheinland-Pfalz;;2017
Brandau;Lothar Ferdinand;1950;FDP;158;Sachsen;9;2017
Dr. Brandenburg;Jens;1986;FDP;277;Baden-Württemberg;9;2017
Brandenburg;Mario;1983;FDP;211;Rheinland-Pfalz;3;2017
Brandes;Christian;1981;Die PARTEI;;Berlin;;2017
Brandes-Steggewentz;Giesela Olga Waltraud;1949;DIE LINKE;39;;;2017
Dr. Brandl;Reinhard;1977;CSU;216;;;2017
Brandmähl;Tobias;1982;V-Partei³;;Bayern;;2017
Brandner;Stephan;1966;AfD;193;Thüringen;1;2017
Brandt;Alexander;1975;PIRATEN;268;Baden-Württemberg;15;2017
Brandt;Stephan;1943;MLPD;18;Hamburg;5;2017
Brandt;Michel;1990;DIE LINKE;271;Baden-Württemberg;6;2017
Brandt;Helmut;1950;CDU;88;Nordrhein-Westfalen;20;2017
Brandt;Karin Sigrid;1955;FREIE WÄHLER;;Sachsen-Anhalt;;2017
Dr. Brantner;Franziska;1979;GRÜNE;274;Baden-Württemberg;9;2017
Bratanovic;Daniel;1981;DKP;;Berlin;;2017
Dr. Brauer;Hagen Michael Wolfgang;1954;AfD;;Mecklenburg-Vorpommern;;2017
Dr. Brauksiepe;Ralf;1967;CDU;139;Nordrhein-Westfalen;9;2017
Braun;Frank Georg;1952;DKP;41;Niedersachsen;12;2017
Braun;Jürgen;1961;AfD;264;Baden-Württemberg;6;2017
Prof. Dr. Braun;Helge Reinhold;1972;CDU;173;Hessen;1;2017
Braun;Max;1994;Die PARTEI;;Baden-Württemberg;;2017
Braun;Petra;1965;MLPD;;Baden-Württemberg;;2017
Braun;Harald Gerhard;1954;MLPD;;Bremen;;2017
Braun;Michael;1965;GRÜNE;99;;;2017
Braune;Rica;1968;GRÜNE;;Thüringen;;2017
Bräuniger;Darija;1987;FDP;;Berlin;;2017
Dr. Brecht;Eberhard;1950;SPD;68;Sachsen-Anhalt;5;2017
Breg;Holger Gregor;1981;Die PARTEI;;Sachsen;;2017
Breher;Silvia;1973;CDU;32;Niedersachsen;25;2017
Brehm;Sebastian;1971;CSU;244;Bayern;22;2017
Brehme;Ulrich;1966;ÖDP;;Niedersachsen;;2017
Brehmer;Heike;1962;CDU;68;Sachsen-Anhalt;1;2017
Brehmer;Ilka;1971;GRÜNE;103;;;2017
Breilmann;Michael;1983;CDU;121;Nordrhein-Westfalen;55;2017
Breininger;Albert;1974;AfD;;Rheinland-Pfalz;;2017
Dr. Brem;Markus;1969;FREIE WÄHLER;253;Bayern;5;2017
Brendecke;Fatimah;1965;BP;243;;;2017
Brendle-Behnisch;Günther;1956;ÖDP;241;Bayern;7;2017
Dr. Brenner;Hans-Peter;1947;DKP;;Nordrhein-Westfalen;;2017
Dr. Bresch;Helmut Joachim;1954;MG;;Sachsen-Anhalt;;2017
Breternitz;Karl-Heinz Gerd;1948;AfD;33;Niedersachsen;25;2017
Bretschneider;Jörg;1970;AfD;;Sachsen;;2017
Brettschneider;Ingrid Marianna;1941;ÖDP;27;Niedersachsen;4;2017
Brey;Marius Josef;1996;DIE LINKE;234;;;2017
Breymaier;Leni;1960;SPD;270;Baden-Württemberg;1;2017
Brinker;Heinrich;1957;DIE LINKE;262;;;2017
Brinkhaus;Ralph;1968;CDU;131;Nordrhein-Westfalen;7;2017
Brinkmann;Günter;1947;FREIE WÄHLER;194;Thüringen;3;2017
Dr. Brinkmann;Angelika;1956;PIRATEN;;Berlin;;2017
Brinkmann;Klaus;1959;DIE LINKE;45;;;2017
Brinkrolf;Johannes;1964;AfD;132;;;2017
Dr. Brixius;Kristina;1986;CDU;;Rheinland-Pfalz;;2017
Brock;Silvia;1962;AfD;54;;;2017
Brodersen;Berthold;1952;FDP;2;;;2017
Dr. Brodesser;Carsten;1967;CDU;99;Nordrhein-Westfalen;36;2017
Broschei;Martina;1965;PIRATEN;40;Niedersachsen;7;2017
Bruck;Philipp;1989;GRÜNE;;Bremen;;2017
Bruckmann;Janina;1984;V-Partei³;;Rheinland-Pfalz;;2017
Bruckner;Gerhard;1958;Die PARTEI;219;Bayern;2;2017
Brugger;Agnes;1985;GRÜNE;294;Baden-Württemberg;5;2017
Brumme;Lagin Tibor;1970;CSU;;Bayern;;2017
Brüning;Gerrit;1989;DKP;;Bremen;;2017
Brüning;Julian;1994;CDU;;Brandenburg;;2017
Brüning;Anna Sophie;1972;BGE;;Niedersachsen;;2017
Brunken;Jakob;1987;GRÜNE;9;Schleswig-Holstein;6;2017
von Brunn;Sibylle;1965;FDP;174;Hessen;14;2017
Brunn;Lea;1989;DiB;;Nordrhein-Westfalen;;2017
Dr. Brunner;Karl Heinz;1953;SPD;255;Bayern;15;2017
Brunner;David;1987;BGE;;Baden-Württemberg;;2017
Brunner;Franz Friedrich;1954;SPD;;Bayern;;2017
Bruns;Michael;1973;DIE LINKE;;Nordrhein-Westfalen;;2017
Bruns;Hannah;1993;DIE LINKE;;Nordrhein-Westfalen;;2017
Bruns;Joachim;1968;ÖDP;129;;;2017
Brunsch;Luca Tadeusz Johannes;1995;GRÜNE;;Schleswig-Holstein;;2017
Brychcy;Franziska;1984;DIE LINKE;79;Berlin;9;2017
Bubendorfer-Licht;Sandra Maria;1969;FDP;212;Bayern;13;2017
Bucher;Sebastian;1975;EB: Bucher 188; 188;;;2017
Dr. Buchholz;Bernd;1961;FDP;10;Schleswig-Holstein;2;2017
Buchholz;Christine;1971;DIE LINKE;185;Hessen;3;2017
Buchholz;Jochen;1977;PIRATEN;;Baden-Württemberg;;2017
Buchler;Sven;1994;V-Partei³;;Thüringen;;2017
Prof. Dr. Buchner;Klaus;1941;ÖDP;;Bayern;;2017
Büchner;Lucas;1988;ÖDP;236;;;2017
Buchta;Herbert;1954;MLPD;;Rheinland-Pfalz;;2017
Buck;Josef;1961;MLPD;275;Baden-Württemberg;21;2017
Bücken-Kramps;Sandra;1974;DIE LINKE;;Nordrhein-Westfalen;;2017
Budde;Katrin;1965;SPD;74;Sachsen-Anhalt;2;2017
Büddemann;Manfred;1951;DIE LINKE;114;;;2017
Budke;Petra;1958;GRÜNE;58;Brandenburg;3;2017
Budszuhn;Timo;1994;DKP;;Nordrhein-Westfalen;;2017
Bühl;Marcus;1977;AfD;;Thüringen;;2017
Bühler;Siegfried;1975;BGE;;Rheinland-Pfalz;;2017
Buhn;Erik;1984;Die PARTEI;;Bayern;;2017
Bühner;Friedhelm;1960;DKP;;Baden-Württemberg;;2017
Buljevic;Vesna;1954;MLPD;;Nordrhein-Westfalen;;2017
Bull-Bischoff;Birke;1963;DIE LINKE;73;Sachsen-Anhalt;3;2017
Bullert;Carsten;1975;Die PARTEI;110;;;2017
Bülow;Jochen;1965;DIE LINKE;197;Rheinland-Pfalz;4;2017
Bülow;Marco;1971;SPD;142;Nordrhein-Westfalen;56;2017
Bultheel;Bérangère;1980;EB: Bultheel 19; 19;;;2017
Bund-Becker;Sören;1993;GRÜNE;298;;;2017
Bunjes;Paul;1994;GRÜNE;209;Rheinland-Pfalz;10;2017
Buntenbach;Marco;1993;DIE RECHTE;273;;;2017
Büntjen;Katharina Martina Elisabeth;1955;FREIE WÄHLER;55;Bremen;1;2017
Bur;Jörg Berthold;1966;BGE;;Saarland;;2017
Bur;Susanne;1953;BGE;;Saarland;;2017
Burandt;Christoph;1968;CDU;;Baden-Württemberg;;2017
Burchard;Dietrich;1965;GRÜNE;263;Baden-Württemberg;20;2017
Burger;Katharina;1990;CDU;;Baden-Württemberg;;2017
Burghart;Hans-Jürgen;1965;BP;;Bayern;;2017
Burkardsmaier;Oliver;1970;PIRATEN;;Baden-Württemberg;;2017
Burkart;Uwe;1963;AfD;280;Baden-Württemberg;26;2017
Burkert;Boris;1961;GRÜNE;229;Bayern;35;2017
Burkert;Martin;1964;SPD;245;Bayern;3;2017
Burkert;Oskar;1951;CDU;;Nordrhein-Westfalen;;2017
Burkhardt;Alfred;1953;FREIE WÄHLER;267;Baden-Württemberg;14;2017
Burmeister;Erich Karl;1953;DIE LINKE;121;;;2017
Burow;Christopher;1986;V-Partei³;;Hessen;;2017
Bursian;Thomas Wolfgang;1959;FDP;;Rheinland-Pfalz;;2017
Busch;Andrea;1964;SPD;;Niedersachsen;;2017
Buschle;Hardy;1957;DM;;Baden-Württemberg;;2017
Dr. Buschmann;Marco;1977;FDP;123;Nordrhein-Westfalen;4;2017
Buschmann;Martin Kenny;1970;Tierschutzpartei;;Hamburg;;2017
Busen;Karlheinz;1951;FDP;126;Nordrhein-Westfalen;10;2017
Büskens;Jana Marina;1995;Die PARTEI;;Niedersachsen;;2017
Busse;Ines;1969;FREIE WÄHLER;67;Sachsen-Anhalt;7;2017
Le Butt;Philip;1988;SPD;;Niedersachsen;;2017
Buttkereit;Elke;1966;SPD;114;Nordrhein-Westfalen;22;2017
Büttner;Matthias;1990;AfD;66;Sachsen-Anhalt;3;2017
Büttner;Andreas Hermann;1973;DIE LINKE;57;;;2017
Butz;Stefan;1972;Die PARTEI;;Rheinland-Pfalz;;2017
Bystron;Petr;1972;AfD;217;Bayern;4;2017
Bytyçi;Hamze;1982;DIE LINKE;;Berlin;;2017
de B_l;Franz;1950;Die PARTEI;;Berlin;;2017
Cakmakli;Nuran;1965;MLPD;;Baden-Württemberg;;2017
Calim;Fatih;1980;ADD;;Nordrhein-Westfalen;;2017
Calta;Christoph Josef;1985;BP;;Bayern;;2017
Carapinha Hesse;Alexander;1984;FDP;33;Niedersachsen;26;2017
Carius;Achim;1954;CDU;;Hessen;;2017
Dr. Castellucci;Lars;1974;SPD;277;Baden-Württemberg;12;2017
Castrup;Anke Karin;1965;V-Partei³;;Nordrhein-Westfalen;;2017
Catalan Sanchez;Vanessa Barbara;1980;V-Partei³;;Hamburg;;2017
Cedel;Sebastian;1984;Die PARTEI;;Sachsen;;2017
Celik;Ahmet;1976;ADD;;Nordrhein-Westfalen;;2017
Çelikkan;Tevfik;1967;EB: Çelikkan 91; 91;;;2017
Çelikkol;Meryem Dagmar;1969;GRÜNE;18;Hamburg;7;2017
Cetin;Filiz;1976;SPD;;Bayern;;2017
Cezanne;Jörg;1958;DIE LINKE;184;Hessen;4;2017
Christ;Steffen Michel Sigmar;1969;AfD;121;;;2017
Christann;Monika Brigitte;1952;DIE LINKE;183;Hessen;9;2017
Christl;Heinrich;1949;BGE;;Baden-Württemberg;;2017
Dr. Christmann;Anna;1983;GRÜNE;259;Baden-Württemberg;11;2017
Christoleit;Rolf;1955;BGE;;Schleswig-Holstein;;2017
Chrupalla;Tino;1975;AfD;157;Sachsen;5;2017
Cieszynski;Thomas;1967;FREIE WÄHLER;144;;;2017
Cinar;Mahmut;1982;SPD;;Schleswig-Holstein;;2017
Cingi;Selcuk;1983;ADD;;Nordrhein-Westfalen;;2017
Ciresa;Eugen;1957;AfD;291;;;2017
Clausecker;Robert;1994;Die PARTEI;;Berlin;;2017
Cleiß;Johannes;1984;BGE;;Baden-Württemberg;;2017
Clemens;Antje Christine;1985;DIE LINKE;249;;;2017
Clostermann;Marcel Stephan;1987;PIRATEN;144;;;2017
Coeln;Felix;1965;BGE;;Nordrhein-Westfalen;;2017
Dr. Cohnen;Thomas;1968;NL;208;;;2017
Collée;Miriam;1986;SPD;;Hessen;;2017
Collin;Jörg-Rainer;1953;ÖDP;;Brandenburg;;2017
Connemann;Gitta;1964;CDU;25;Niedersachsen;7;2017
Conrad;Gabriele;1960;MLPD;261;Baden-Württemberg;13;2017
Dr. Conradi;Ralf-Günther;1956;AfD;;Berlin;;2017
Corongiu;Enrico;1978;SPD;226;Bayern;39;2017
Cortez de Lobao;Kirsten;1963;FDP;297;Saarland;3;2017
Corticelli;Peter Anton;1970;FDP;;Bayern;;2017
Coße;Jürgen;1969;SPD;128;Nordrhein-Westfalen;29;2017
Coste;Carl Cevin-Key;1996;FDP;23;Hamburg;6;2017
Cotar;Joana Eleonora;1973;AfD;;Hessen;;2017
Covolo;Caroline;1988;FDP;32;Niedersachsen;11;2017
von Cramon-Taubadel;Viola;1970;GRÜNE;52;Niedersachsen;9;2017
Cremer;Claus;1979;NPD;;Nordrhein-Westfalen;;2017
Cronenberg;Carl-Julius;1962;FDP;147;Nordrhein-Westfalen;14;2017
Dr. Curio;Gottfried;1960;AfD;;Berlin;;2017
Dr. Cyron;Anna Elisabeth;1955;AfD;;Bayern;;2017
Czech;Michael;1955;DKP;;Berlin;;2017
Czich;Sebastian;1980;PIRATEN;;Sachsen;;2017
Czylwick;Achim;1954;MLPD;139;;;2017
Dachner;Jonas;1986;MLPD;271;Baden-Württemberg;5;2017
Dachner;Michael;1957;EB: Dachner 278; 278;;;2017
Dachroth;Mirko;1975;FDP;59;Brandenburg;4;2017
Da_delen;Sevim;1975;DIE LINKE;140;Nordrhein-Westfalen;3;2017
Dagli;Seyhan;1969;ADD;;Nordrhein-Westfalen;;2017
Dahlmann;Thomas;1960;SPD;;Nordrhein-Westfalen;;2017
Dahlmanns;Stefan;1965;FDP;109;Nordrhein-Westfalen;38;2017
Dr. Dahmen;Janosch;1981;GRÜNE;139;Nordrhein-Westfalen;14;2017
Daldrup;Bernhard;1956;SPD;130;Nordrhein-Westfalen;7;2017
Dallheimer;Johannes Albert;1994;FDP;241;Bayern;20;2017
Damerow;Astrid;1958;CDU;2;Schleswig-Holstein;5;2017
Dammann;Manfred;1959;NPD;;Niedersachsen;;2017
Dammann;Steffen;1980;BGE;;Sachsen-Anhalt;;2017
Damson;Thomas;1981;AfD;199;Rheinland-Pfalz;11;2017
Daniel-Sommer;Jens;1957;Die PARTEI;;Berlin;;2017
Danschikov;Stanislav;1976;NPD;;Niedersachsen;;2017
Darge;Ekkehard Martin Walter;1971;GRÜNE;;Hessen;;2017
Darguß;Frank;1979;DKP;;Niedersachsen;;2017
Dassler;Britta Katharina;1964;FDP;242;Bayern;9;2017
Datli;Burhanettin;1966;EB: Datli 116; 116;;;2017
Daubertshäuser;Doris;1955;AfD;;Hessen;;2017
Dayi;Dursun;1964;FREIE WÄHLER;286;Baden-Württemberg;6;2017
Dayi;Defne Ilayda;1998;FREIE WÄHLER;;Baden-Württemberg;;2017
Deboy;Jan Patrick Jürgen;1985;SPD;184;Hessen;23;2017
Debus;Christian Oliver Elmar;1969;Die PARTEI;;Hessen;;2017
Deger;Gökhan;1973;FREIE WÄHLER;;Bayern;;2017
Degert;Anjana;1972;FREIE WÄHLER;245;Bayern;31;2017
Dehler;Stephan;1984;FDP;184;Hessen;18;2017
Dr. Dehm-Desoi;Jörg-Diether Wilhelm;1950;DIE LINKE;43;Niedersachsen;2;2017
Dejosez;Jacqueline;1993;SPD;;Mecklenburg-Vorpommern;;2017
Delhey;Bodo;1952;FREIE WÄHLER;180;Hessen;21;2017
Deligöz;Ekin;1971;GRÜNE;255;Bayern;3;2017
Deller;Michael;1991;FDP;;Bayern;;2017
Dembowski;Eric;1987;V-Partei³;;Sachsen;;2017
Demirel;Phyliss Hatice;1964;GRÜNE;19;Hamburg;5;2017
Demper;Silvia;1982;SPD;;Hessen;;2017
Dempfle;Hermann Johann;1957;BP;;Bayern;;2017
Demuth;Ellen;1982;CDU;;Rheinland-Pfalz;;2017
Denecke;Torben;1983;Die PARTEI;;Berlin;;2017
Dengler;Johannes;1955;DM;;Baden-Württemberg;;2017
Dengler;Lisa;1990;Tierschutzpartei;;Baden-Württemberg;;2017
Denker;Katharina Luise Lotti;1985;Die PARTEI;;Hamburg;;2017
Dennenmoser;Simon;1991;AfD;;Baden-Württemberg;;2017
Dr. Depner;Martin Michael;1958;AfD;;Niedersachsen;;2017
Deppe;Thomas;1986;CDU;;Niedersachsen;;2017
Deptala;Daniel;1988;MENSCHLICHE WELT;;Berlin;;2017
Derabin;Paul;1988;CDU;;Niedersachsen;;2017
Dernedde;Henri;1995;Die PARTEI;;Bayern;;2017
Dettke;Martina;1963;SPD;;Brandenburg;;2017
Dettmann;Jürgen;1966;FREIE WÄHLER;;Mecklenburg-Vorpommern;;2017
Deusch;Lars;1997;Tierschutzallianz;;Baden-Württemberg;;2017
Deuter;Reinhold;1958;PIRATEN;;Bayern;;2017
Deutsch;Robin Klaus;1958;DM;;Nordrhein-Westfalen;;2017
Deutsch;Paul;1951;MLPD;50;;;2017
von Dewitz;Susanna;1973;PIRATEN;;Baden-Württemberg;;2017
Dr. Diaby;Karamba;1961;SPD;72;Sachsen-Anhalt;3;2017
Dick;Gerhard;1954;BGE;;Bremen;;2017
Dick-Walther;Petra;1967;FDP;;Rheinland-Pfalz;;2017
Diebel-Geries;Bärbel;1966;SPD;;Niedersachsen;;2017
Diebold;Gudrun;1956;ÖDP;292;Baden-Württemberg;22;2017
Diebold;Patrick;1988;SPD;272;Baden-Württemberg;34;2017
Diedenhofen;Martin;1995;SPD;197;Rheinland-Pfalz;13;2017
Diederich;Anna;1995;ÖDP;;Mecklenburg-Vorpommern;;2017
Diefenbach;Frank Reinhard Jakob;1969;GRÜNE;187;Hessen;14;2017
Diener;Nepomuk;1994;Die PARTEI;;Sachsen-Anhalt;;2017
Dierkes-Morsy;Ulrike-Judith;1975;DIE LINKE;239;;;2017
Dierks;Carsten;1957;FDP;;Rheinland-Pfalz;;2017
Dietel;Guido;1963;AfD;106;;;2017
Dietl-Faude;Annette;1967;CDU;;Baden-Württemberg;;2017
Dr. Dietrich;Manfred Werner Reinhold;1952;FDP;63;Brandenburg;6;2017
Dietrich;Gabriele;1969;FREIE WÄHLER;;Sachsen;;2017
Dr. Dietrich;Jens;1965;AfD;;Thüringen;;2017
Dietz;David;1981;FDP;205;Rheinland-Pfalz;6;2017
Dietz;Michael;1980;CDU;;Saarland;;2017
Dietz;Helmut;1950;AfD;294;;;2017
Dietzler;Andreas Uwe;1972;V-Partei³;;Bayern;;2017
Dietzmann;Frank Jens;1979;DIE LINKE;;Sachsen;;2017
Dilcher;Esther;1965;SPD;167;Hessen;16;2017
Dillschneider;Jeanne Marie Aline;1995;GRÜNE;;Saarland;;2017
Dinar;Erkan;1980;DIE LINKE;228;Bayern;8;2017
Dippel;Konrad Willibald;1971;EB: Dippel 235; 235;;;2017
Disselhoff;Tim Justus;1992;DiB;;Niedersachsen;;2017
Distl;Marcel;1992;FDP;266;Baden-Württemberg;34;2017
Distler;Wolfgang;1976;BP;216;;;2017
Ditteney-Botzen;Axel Henning;1969;V-Partei³;;Nordrhein-Westfalen;;2017
Dittmar;Sabine;1964;SPD;248;Bayern;10;2017
Dittrich;Tobias;1989;Die PARTEI;;Brandenburg;;2017
Djir-Sarai;Bijan;1976;FDP;108;Nordrhein-Westfalen;6;2017
Djonovic;Marina;1990;NPD;269;Baden-Württemberg;6;2017
Dr. Dloczik;Larissa;1967;ÖDP;;Berlin;;2017
Dobberstein;Svenja Baukje;1979;BGE;;Niedersachsen;;2017
Dobelmann;Sven;1997;Die PARTEI;;Niedersachsen;;2017
Dobrindt;Alexander;1970;CSU;226;Bayern;2;2017
Doebert;Steffen;1968;MIETERPARTEI;85;;;2017
Doll;Anton Robert;1958;BGE;;Schleswig-Holstein;;2017
Dolle;Christoph;1976;SPD;;Nordrhein-Westfalen;;2017
Dolzer;Martin;1966;DIE LINKE;18;;;2017
Domani-Bauer;Andrea Maria;1966;FREIE WÄHLER;;Bayern;;2017
Domscheit-Berg;Anke;1968;DIE LINKE;60;Brandenburg;3;2017
Donner;Jürgen;1965;DiB;;Nordrhein-Westfalen;;2017
Donth;Michael;1967;CDU;289;;;2017
Dopke;Lisa;1989;Die PARTEI;;Niedersachsen;;2017
Dörfler;Jürgen Horst;1961;FREIE WÄHLER;244;Bayern;32;2017
Döring;Jörn;1977;FREIE WÄHLER;133;Nordrhein-Westfalen;6;2017
Dorison;Alice;1995;CDU;;Baden-Württemberg;;2017
Dorka;Gerhard Horst;1955;DKP;125;Nordrhein-Westfalen;10;2017
Dörlitz;Heinz Helmut;1963;NPD;;Hamburg;;2017
Dörmann;Martin;1962;SPD;93;Nordrhein-Westfalen;51;2017
Dornach;Krimhilde Marianne;1966;ÖDP;257;;;2017
Dr. Dörner;Wolfgang Marc;1960;AfD;241;Bayern;26;2017
Dörner;Katja;1976;GRÜNE;96;Nordrhein-Westfalen;3;2017
Dr. Dornheim;Laura;1983;GRÜNE;;Berlin;;2017
Dörr;Marcus;1985;CDU;;Rheinland-Pfalz;;2017
Dossenbach;Markus;1968;AfD;;Bayern;;2017
Dött;Marie-Luise;1953;CDU;117;Nordrhein-Westfalen;8;2017
Dotten;Horst;1957;MLPD;119;;;2017
Dotzler;Thomas Georg;1965;BP;236;;;2017
Drabinski;Dirk Ronald;1965;BGE;;Brandenburg;;2017
Draeger;Hannes;1983;DIE LINKE;124;;;2017
Drakos;Nicole;1971;du.;;Berlin;;2017
Drängler;Katharina Veronika;1986;Die PARTEI;;Saarland;;2017
Drechsler;Gabriele;1959;GRÜNE;246;Bayern;38;2017
Drechsler;Noreen;1984;Die PARTEI;;Berlin;;2017
Dreger;Winfried Hugo;1954;FREIE WÄHLER;59;Brandenburg;4;2017
Dreher;Dirk Raik;1968;GRÜNE;207;;;2017
Drehsen;Guido;1966;DiB;;Baden-Württemberg;;2017
Drenkhan;Gregor;1979;Die PARTEI;;Hessen;;2017
Drenske;Peter Holger;1960;AfD;65;;;2017
Drephal;Madeleine Christin;1989;FREIE WÄHLER;;Hessen;;2017
Drephal;Rainer;1944;FREIE WÄHLER;;Hessen;;2017
Drescher;Ulrich Martin;1952;GRÜNE;288;Baden-Württemberg;28;2017
Dreßler;Mario;1962;DM;;Thüringen;;2017
Drexler;Gerhard Johann;1964;FDP;;Bayern;;2017
Dreyer;Silvia;1954;Tierschutzpartei;;Brandenburg;;2017
Driesang;Dirk Klaus;1964;AfD;245;;;2017
Drobinski-Weiß;Elvira;1951;SPD;284;Baden-Württemberg;17;2017
Droese;Siegbert;1969;AfD;153;Sachsen;3;2017
Dröge;Katharina;1984;GRÜNE;95;Nordrhein-Westfalen;7;2017
Drößler;Corvin;1999;Die PARTEI;56;;;2017
Droste;Michael;1960;DIE LINKE;98;;;2017
Dr. Drumm;Herbert;1949;FREIE WÄHLER;201;Rheinland-Pfalz;1;2017
Ducke;Kai-Uwe;1975;BüSo;76;Berlin;5;2017
Duda;Marcel;1991;GRÜNE;29;Niedersachsen;10;2017
Duden;Annett;1973;Die PARTEI;;Berlin;;2017
Duhme;Elke;1959;CDU;;Nordrhein-Westfalen;;2017
Dumberger;Andrea Brigitte;1957;MLPD;;Bayern;;2017
Dumberger;Klaus Thomas;1964;MLPD;;Bayern;;2017
Düngel;Daniel;1976;PIRATEN;129;Nordrhein-Westfalen;2;2017
Durak;Erol;1972;MLPD;;Hessen;;2017
Dürr;Christian;1977;FDP;28;Niedersachsen;1;2017
Dürr;Markus Ulrich;1993;FDP;208;Rheinland-Pfalz;13;2017
Durz;Hansjörg;1971;CSU;253;Bayern;39;2017
Dworschak;Reiner;1954;MLPD;93;;;2017
Dyhr;Thomas;1958;GRÜNE;57;;;2017
Ebbing;Hartmut Heinrich Wilhelm;1956;FDP;79;Berlin;3;2017
Ebel;Helga;1945;DIE LINKE;;Nordrhein-Westfalen;;2017
Ebel;Manfred;1954;DKP;62;;;2017
Eberhard;Harald Siegfried;1958;BP;;Bayern;;2017
Eberhard-Forschner;Dagmar;1953;MLPD;107;Nordrhein-Westfalen;20;2017
Eberhardt;Hannes;1981;ÖDP;233;;;2017
Eberherr;Norbert;1968;DIE LINKE;225;;;2017
Eberl;Iris Maria;1958;CSU;;Bayern;;2017
Ebner;Matthias;1984;Tierschutzpartei;258;Baden-Württemberg;1;2017
Ebner;Harald;1964;GRÜNE;268;Baden-Württemberg;8;2017
Ebner-Steiner;Katrin;1978;AfD;227;;;2017
Ebrahimi Zadeh;Mehdi;1975;PIRATEN;96;;;2017
Ebrahiminejad;Moschgan;1965;SPD;;Saarland;;2017
Eccarius;Frieder;1988;SPD;;Thüringen;;2017
Eckardt;Sören;1988;DiB;;Niedersachsen;;2017
Eckenbach;Jutta;1952;CDU;119;Nordrhein-Westfalen;40;2017
Eckert;Christian Herbert Josef;1947;BP;;Bayern;;2017
Eckstein;Michael Horst Georg;1968;GRÜNE;238;Bayern;39;2017
Edelmann;Kristin;1970;V-Partei³;;Nordrhein-Westfalen;;2017
Edenhofer;Lilian;1967;FREIE WÄHLER;215;;;2017
Eder;Julian Simon;1998;DIE LINKE;177;Hessen;12;2017
Eder;Elke Ursula;1963;FREIE WÄHLER;243;Bayern;21;2017
Edler;Evelyn;1981;DIE LINKE;68;Sachsen-Anhalt;7;2017
Edler;Annette;1962;DM;;Baden-Württemberg;;2017
Edler;Hans-Stefan Egon;1949;AfD;;Brandenburg;;2017
Edsen;Samantha;1991;Die PARTEI;18;Hamburg;3;2017
Eenhuis;Detlef;1967;FREIE WÄHLER;;Rheinland-Pfalz;;2017
Egerer;Lutz;1964;SPD;241;Bayern;25;2017
Eggert;Nils Adrian;1996;Die PARTEI;;Hessen;;2017
Eglence;Gönül;1979;GRÜNE;119;Nordrhein-Westfalen;19;2017
Ehlers;Alexander Paul Friedrich;1955;CSU;;Bayern;;2017
Ehrenhuber;Martin;1972;CSU;;Bayern;;2017
Ehrhorn;Thomas;1959;AfD;44;Niedersachsen;3;2017
Ehrke;Sabine;1964;AfD;47;Niedersachsen;8;2017
Ehrl;Ewald;1961;EB: Ehrl 234; 234;;;2017
Ehrlich;Gerald;1967;DiB;;Nordrhein-Westfalen;;2017
Ehses;Sabine;1960;ÖDP;;Rheinland-Pfalz;;2017
Ehses;Martina;1960;ÖDP;;Rheinland-Pfalz;;2017
Ehtemai;Meysam;1980;SPD;;Hessen;;2017
Eibes;Hans-Peter;1958;FDP;;Rheinland-Pfalz;;2017
Eichbaum;Ulf;1969;BGE;;Niedersachsen;;2017
Eichbaum;Dominik;1978;EB: Eichbaum 148; 148;;;2017
Eiche;Michael;1964;AfD;138;;;2017
Eichel;Ingo;1979;V-Partei³;;Baden-Württemberg;;2017
Eichert;Martin;1965;FREIE WÄHLER;210;Rheinland-Pfalz;3;2017
Eickmeyer;Klaus;1959;DIE LINKE;9;;;2017
Eifler;Andreas;1955;MLPD;196;Thüringen;3;2017
Dr. Eigemeier;Ellen;1970;ÖDP;;Rheinland-Pfalz;;2017
Eigenfeld;Ulrich;1947;NPD;;Niedersachsen;;2017
Eink;Guido;1966;ÖDP;;Baden-Württemberg;;2017
Einwächter-Lange;Heike Karin;1961;MENSCHLICHE WELT;;Bremen;;2017
