Gruppenname;Gebietsnummer;jahr;Anzahl
DIE LINKE;34;2021;6375
Die PARTEI;34;2021;0
Tierschutzpartei;34;2021;0
FREIE WÄHLER;34;2021;4578
PIRATEN;34;2021;0
NPD;34;2021;0
V-Partei³;34;2021;0
ÖDP;34;2021;0
MLPD;34;2021;0
DKP;34;2021;0
dieBasis;34;2021;3883
du.;34;2021;0
LKR;34;2021;0
Die Humanisten;34;2021;0
Team Todenhöfer;34;2021;0
Volt;34;2021;0
CDU;35;2021;32720
SPD;35;2021;59131
FDP;35;2021;7354
AfD;35;2021;9182
GRÜNE;35;2021;10035
DIE LINKE;35;2021;3010
Die PARTEI;35;2021;0
Tierschutzpartei;35;2021;0
FREIE WÄHLER;35;2021;2734
PIRATEN;35;2021;0
NPD;35;2021;0
V-Partei³;35;2021;0
ÖDP;35;2021;0
MLPD;35;2021;0
DKP;35;2021;0
dieBasis;35;2021;0
du.;35;2021;0
LKR;35;2021;0
Die Humanisten;35;2021;0
Team Todenhöfer;35;2021;0
Volt;35;2021;0
CDU;36;2021;46711
SPD;36;2021;49773
FDP;36;2021;14395
AfD;36;2021;11007
GRÜNE;36;2021;24120
DIE LINKE;36;2021;4230
Die PARTEI;36;2021;0
Tierschutzpartei;36;2021;3561
FREIE WÄHLER;36;2021;3515
PIRATEN;36;2021;0
NPD;36;2021;0
V-Partei³;36;2021;0
ÖDP;36;2021;0
MLPD;36;2021;0
DKP;36;2021;0
dieBasis;36;2021;2850
du.;36;2021;0
LKR;36;2021;351
Die Humanisten;36;2021;0
Team Todenhöfer;36;2021;0
Volt;36;2021;0
CDU;37;2021;34287
SPD;37;2021;38784
FDP;37;2021;9513
AfD;37;2021;8603
GRÜNE;37;2021;34606
DIE LINKE;37;2021;5378
Die PARTEI;37;2021;2187
Tierschutzpartei;37;2021;0
FREIE WÄHLER;37;2021;1561
PIRATEN;37;2021;0
NPD;37;2021;0
V-Partei³;37;2021;0
ÖDP;37;2021;0
MLPD;37;2021;0
DKP;37;2021;0
dieBasis;37;2021;2542
du.;37;2021;0
LKR;37;2021;105
Die Humanisten;37;2021;0
Team Todenhöfer;37;2021;0
Volt;37;2021;0
EB: Großkopf;37;2021;71
CDU;38;2021;54535
SPD;38;2021;44709
FDP;38;2021;13006
AfD;38;2021;9418
GRÜNE;38;2021;22011
DIE LINKE;38;2021;3596
Die PARTEI;38;2021;0
Tierschutzpartei;38;2021;0
FREIE WÄHLER;38;2021;1262
PIRATEN;38;2021;0
NPD;38;2021;0
V-Partei³;38;2021;0
ÖDP;38;2021;0
MLPD;38;2021;0
DKP;38;2021;0
dieBasis;38;2021;2049
du.;38;2021;0
LKR;38;2021;0
Die Humanisten;38;2021;0
Team Todenhöfer;38;2021;0
Volt;38;2021;0
CDU;39;2021;43316
SPD;39;2021;44876
FDP;39;2021;10090
AfD;39;2021;6695
GRÜNE;39;2021;34140
DIE LINKE;39;2021;6977
Die PARTEI;39;2021;0
Tierschutzpartei;39;2021;0
FREIE WÄHLER;39;2021;0
PIRATEN;39;2021;0
NPD;39;2021;0
V-Partei³;39;2021;0
ÖDP;39;2021;0
MLPD;39;2021;0
DKP;39;2021;194
dieBasis;39;2021;1918
du.;39;2021;0
LKR;39;2021;0
Die Humanisten;39;2021;0
Team Todenhöfer;39;2021;0
Volt;39;2021;0
CDU;40;2021;43817
SPD;40;2021;50017
FDP;40;2021;8804
AfD;40;2021;11695
GRÜNE;40;2021;18094
DIE LINKE;40;2021;3070
Die PARTEI;40;2021;0
Tierschutzpartei;40;2021;2800
FREIE WÄHLER;40;2021;1746
PIRATEN;40;2021;0
NPD;40;2021;0
V-Partei³;40;2021;0
ÖDP;40;2021;0
MLPD;40;2021;0
DKP;40;2021;0
dieBasis;40;2021;1382
du.;40;2021;0
LKR;40;2021;0
Die Humanisten;40;2021;0
Team Todenhöfer;40;2021;0
Volt;40;2021;0
EB: Weich;40;2021;222
CDU;41;2021;27303
SPD;41;2021;44538
FDP;41;2021;9550
AfD;41;2021;7549
GRÜNE;41;2021;27851
DIE LINKE;41;2021;4662
Die PARTEI;41;2021;1586
Tierschutzpartei;41;2021;1528
FREIE WÄHLER;41;2021;847
PIRATEN;41;2021;746
NPD;41;2021;0
V-Partei³;41;2021;0
ÖDP;41;2021;138
MLPD;41;2021;114
DKP;41;2021;0
dieBasis;41;2021;1265
du.;41;2021;0
LKR;41;2021;0
Die Humanisten;41;2021;0
Team Todenhöfer;41;2021;0
Volt;41;2021;0
CDU;42;2021;26196
SPD;42;2021;46929
FDP;42;2021;9538
AfD;42;2021;6476
GRÜNE;42;2021;37779
DIE LINKE;42;2021;7390
Die PARTEI;42;2021;2428
Tierschutzpartei;42;2021;1937
FREIE WÄHLER;42;2021;875
PIRATEN;42;2021;979
NPD;42;2021;0
V-Partei³;42;2021;0
ÖDP;42;2021;0
MLPD;42;2021;146
DKP;42;2021;0
dieBasis;42;2021;1568
du.;42;2021;0
LKR;42;2021;0
Die Humanisten;42;2021;287
Team Todenhöfer;42;2021;0
Volt;42;2021;0
CDU;43;2021;55185
SPD;43;2021;58297
FDP;43;2021;12557
AfD;43;2021;12942
GRÜNE;43;2021;22490
DIE LINKE;43;2021;3981
Die PARTEI;43;2021;1662
Tierschutzpartei;43;2021;3080
FREIE WÄHLER;43;2021;0
PIRATEN;43;2021;988
NPD;43;2021;0
V-Partei³;43;2021;0
ÖDP;43;2021;0
MLPD;43;2021;0
DKP;43;2021;0
dieBasis;43;2021;1727
du.;43;2021;0
LKR;43;2021;142
Die Humanisten;43;2021;0
Team Todenhöfer;43;2021;0
Volt;43;2021;0
EB: Kober;43;2021;66
CDU;44;2021;51504
SPD;44;2021;50635
FDP;44;2021;13412
AfD;44;2021;14498
GRÜNE;44;2021;18773
DIE LINKE;44;2021;4357
Die PARTEI;44;2021;0
Tierschutzpartei;44;2021;0
FREIE WÄHLER;44;2021;3399
PIRATEN;44;2021;0
NPD;44;2021;0
V-Partei³;44;2021;0
ÖDP;44;2021;0
MLPD;44;2021;0
DKP;44;2021;0
dieBasis;44;2021;0
du.;44;2021;0
LKR;44;2021;0
Die Humanisten;44;2021;0
Team Todenhöfer;44;2021;0
Volt;44;2021;0
EB: Schlüter;44;2021;56
CDU;45;2021;40279
SPD;45;2021;72113
FDP;45;2021;10738
AfD;45;2021;15346
GRÜNE;45;2021;15762
DIE LINKE;45;2021;3619
Die PARTEI;45;2021;0
Tierschutzpartei;45;2021;2820
FREIE WÄHLER;45;2021;2084
PIRATEN;45;2021;0
NPD;45;2021;0
V-Partei³;45;2021;0
ÖDP;45;2021;0
MLPD;45;2021;0
DKP;45;2021;0
dieBasis;45;2021;2016
du.;45;2021;0
LKR;45;2021;120
Die Humanisten;45;2021;0
Team Todenhöfer;45;2021;0
Volt;45;2021;0
EB: Neumann;45;2021;103
EB: Kunick;45;2021;24
CDU;46;2021;33575
SPD;46;2021;56893
FDP;46;2021;9102
AfD;46;2021;11208
GRÜNE;46;2021;13259
DIE LINKE;46;2021;3676
Die PARTEI;46;2021;0
Tierschutzpartei;46;2021;0
FREIE WÄHLER;46;2021;1979
PIRATEN;46;2021;0
NPD;46;2021;0
V-Partei³;46;2021;0
ÖDP;46;2021;0
MLPD;46;2021;0
DKP;46;2021;0
dieBasis;46;2021;1856
du.;46;2021;0
LKR;46;2021;0
Die Humanisten;46;2021;0
Team Todenhöfer;46;2021;0
Volt;46;2021;0
CDU;47;2021;45721
SPD;47;2021;73088
FDP;47;2021;11883
AfD;47;2021;13377
GRÜNE;47;2021;22283
DIE LINKE;47;2021;4095
Die PARTEI;47;2021;1701
Tierschutzpartei;47;2021;2618
FREIE WÄHLER;47;2021;1978
PIRATEN;47;2021;1119
NPD;47;2021;0
V-Partei³;47;2021;0
ÖDP;47;2021;0
MLPD;47;2021;0
DKP;47;2021;0
dieBasis;47;2021;1635
du.;47;2021;0
LKR;47;2021;0
Die Humanisten;47;2021;0
Team Todenhöfer;47;2021;0
Volt;47;2021;0
EB: Göller;47;2021;50
CDU;48;2021;41230
SPD;48;2021;61857
FDP;48;2021;11507
AfD;48;2021;11387
GRÜNE;48;2021;22973
DIE LINKE;48;2021;5481
Die PARTEI;48;2021;0
Tierschutzpartei;48;2021;0
FREIE WÄHLER;48;2021;1420
